action,object,result,result_description
Purify,Liquid,Hydrogel,"(also called aquagel) is a network of polymer chains that are hydrophilic, sometimes found as a colloidal gel in which water is the dispersion medium. Hydrogels are highly absorbent (they can contain over 99.9% water) natural or synthetic polymers. Hydrogels also possess a degree of flexibility very similar to natural tissue, due to their significant water content."
Purify,Liquid,Ion Exchange,"An exchange of ions between two electrolytes or between an electrolyte solution and a complex. In most cases the term is used to denote the processes of purification, separation, and decontamination of aqueous and other ion-containing solutions with solid polymeric or mineralic 'ion exchangers'."
Purify,Liquid,Iontophoresis,A physical process in which ions flow diffusively in a medium driven by an applied electric field.
Purify,Liquid,Lamella,"A gill-shaped structure: fine sheets of material held adjacent to one another, often with fluid in-between. They appear in biological and engineering contexts, such as filters and heat exchangers. The microscopic structures in bone and nacre are lamellae in the materials science sense of the word."
Purify,Liquid,Liquid Membrane,"A membrane in which the active component is in liquid form, typically held in the form of an emulsion or supported in pores in some carrier material."
Purify,Liquid,Liquid-Liquid Extraction,"A method to separate compounds based on their relative solubilities in two different immiscible liquids, usually water and an organic solvent. It is an extraction of a substance from one liquid phase into another liquid phase."
Purify,Liquid,Metal Foam,"A cellular structure consisting of a solid metal, frequently aluminium, containing a large volume fraction of gas-filled pores. The pores can be sealed (closed-cell foam), or they can form an interconnected network (open-cell foam)."
Purify,Liquid,Metal Organic Framework,"(or MOF). A class of cordination polymers consisting of metal ions or clusters coordinated to organic ligands to form 1, 2 or 3-dimensional structures with the special feature that they are often porous. MOFs are of interest for the storage of gases such as hydrogen and carbon dioxide. Other possible applications of MOFs are in gas purification, gas separation, catalysis, as sensors and as supercapacitors."
Purify,Liquid,Molecular Sieve,A material containing tiny pores of a precise and uniform size that is used as an adsorbent for gases and liquids.
Purify,Liquid,Osmosis,"A physical process in which a solvent moves, without input of energy, across a semipermeable membrane (permeable to the solvent, but not the solute) separating two solutions of different concentrations.Osmosis releases energy, and can be made to do work."
Purify,Liquid,Ostwald Ripening,"An observed phenomenon in solid solutions or liquid sols that describes the change of an inhomogeneous structure over time, i.e., small crystals or sol particles dissolve, and redeposit onto larger crystals or sol particles. Occurs because larger particles are more energetically favored than smaller particles. This stems from the fact that molecules on the surface of a particle are energetically less stable than the ones in the interior. Ostwald ripening is also observed in liquid-liquid systems, causing diffusion of monomers (i.e. individual molecules or atoms) from smaller droplets to larger droplets due to greater solubility of the single monomer molecules in the larger monomer droplets."
Purify,Liquid,Permeation,"The penetration of a permeate (such as a liquid, gas, or vapour) through a solid. The permeate always migrates to the lower concentration in three steps: 1. Sorption (at the interface); 2. Diffusion (through the solid); 3. Desorption (the adsorbate leaves the solid as a gas)."
Purify,Liquid,Pervaporation,"A method for the separation of mixtures of liquids by partial vaporisation through a non-porous or porous membrane. The name is derived from the two basic steps of the process, firstly the permeation through the membrane by the permeate, then its evaporation into the vapor phase. This process is used by a number of industries for several different processes, including purification and analysis, due to its simplicity and in-line nature."
